,amplitude,tstep,vfp
0,-0.0100011033937,4780,78
1,-0.0100053315982,4781,78
2,-0.0100113600492,4782,78
3,-0.0100132795051,4783,78
4,-0.010016977787,4784,78
5,-0.0100221503526,4785,78
6,-0.0100237689912,4786,78
7,-0.0100268404931,4787,78
8,-0.0100310072303,4788,78
9,-0.010032273829,4789,78
10,-0.0100346142426,4790,78
11,-0.0100376196206,4791,78
12,-0.0100384801626,4792,78
13,-0.0100399814546,4793,78
14,-0.0100411791354,4794,78
15,-0.0100420610979,4795,78
16,-0.0100426143035,4796,78
17,-0.0100427633151,4797,78
18,-0.0100427987054,4798,78
19,-0.0100424727425,4799,78
20,-0.0100412806496,4800,78
21,-0.0100406883284,4801,78
22,-0.010038305074,4802,78
23,-0.0100361965597,4803,78
24,-0.0100349811837,4804,78
25,-0.0100306682289,4805,78
26,-0.0100272232667,4806,78
27,-0.0100233079866,4807,78
28,-0.0100211696699,4808,78
29,-0.0100165242329,4809,78
30,-0.0100113768131,4810,78
31,-0.010008610785,4811,78
32,-0.0100026857108,4812,78
0,-0.0100033367053,4775,80
1,-0.0100082391873,4776,80
2,-0.0100106401369,4777,80
3,-0.010015337728,4778,80
4,-0.0100198900327,4779,80
5,-0.0100242942572,4780,80
6,-0.0100264390931,4781,80
7,-0.0100306095555,4782,80
8,-0.0100346179679,4783,80
9,-0.0100403111428,4784,80
10,-0.0100421207026,4785,80
11,-0.0100472746417,4786,80
12,-0.0100504728034,4787,80
13,-0.0100519983098,4788,80
14,-0.0100562674925,4789,80
15,-0.01005885005,4790,80
16,-0.0100600589067,4791,80
17,-0.0100623080507,4792,80
18,-0.0100633464754,4793,80
19,-0.0100661022589,4794,80
20,-0.0100676314905,4795,80
21,-0.0100689036772,4796,80
22,-0.0100694419816,4797,80
23,-0.0100703146309,4798,80
24,-0.0100710988045,4799,80
25,-0.0100712152198,4800,80
26,-0.0100711164996,4801,80
27,-0.0100706648082,4802,80
28,-0.0100703192875,4803,80
29,-0.0100687928498,4804,80
30,-0.0100673520938,4805,80
31,-0.0100655611604,4806,80
32,-0.0100634098053,4807,80
33,-0.010062196292,4808,80
34,-0.0100594880059,4809,80
35,-0.010056393221,4810,80
36,-0.010052902624,4811,80
37,-0.0100490041077,4812,80
38,-0.0100468993187,4813,80
39,-0.0100423721597,4814,80
40,-0.0100347651169,4815,80
41,-0.0100291334093,4816,80
42,-0.0100230416283,4817,80
43,-0.0100164767355,4818,80
44,-0.0100094303489,4819,80
45,-0.0100057227537,4820,80
