,amplitude,tstep,vfp
0,-0.012601214461,4608,121
1,-0.0125676803291,4609,121
2,-0.0125435385853,4610,121
3,-0.0125309359282,4611,121
4,-0.0125046661124,4612,121
5,-0.0124910026789,4613,121
6,-0.0124479141086,4614,121
7,-0.0124174561352,4615,121
8,-0.0124017111957,4616,121
9,-0.0123691977933,4617,121
10,-0.0123178968206,4618,121
11,-0.0122820334509,4619,121
12,-0.012244858779,4620,121
13,-0.012206393294,4621,121
14,-0.0121866827831,4622,121
15,-0.0121256681159,4623,121
16,-0.012104710564,4624,121
17,-0.0120400311425,4625,121
18,-0.0120178787038,4626,121
19,-0.0119727021083,4627,121
20,-0.0119263837114,4628,121
21,-0.011878955178,4629,121
22,-0.011854832992,4630,121
23,-0.0118057914078,4631,121
24,-0.0117302965373,4632,121
25,-0.0117046302184,4633,121
26,-0.0116261932999,4634,121
27,-0.011599579826,4635,121
28,-0.0115184029564,4636,121
29,-0.0114632146433,4637,121
30,-0.0114353159443,4638,121
31,-0.0113504407927,4639,121
32,-0.0112929297611,4640,121
33,-0.011263910681,4641,121
34,-0.0112053733319,4642,121
35,-0.0111461980268,4643,121
36,-0.0110864313319,4644,121
37,-0.0110261142254,4645,121
38,-0.0109652876854,4646,121
39,-0.0109040001407,4647,121
40,-0.0108422888443,4648,121
41,-0.0108112925664,4649,121
42,-0.0107490364462,4650,121
43,-0.0106550930068,4651,121
44,-0.010623652488,4652,121
45,-0.0105290301144,4653,121
46,-0.0104657579213,4654,121
47,-0.0104023870081,4655,121
48,-0.010370680131,4656,121
49,-0.0103072514758,4657,121
50,-0.0102438442409,4658,121
51,-0.01018050313,4659,121
52,-0.0101172765717,4660,121
53,-0.0100542157888,4661,121
54,-0.0100227603689,4662,121
55,-0.010002201423,4950,121
56,-0.0100047290325,4951,121
57,-0.0100062275305,4952,121
58,-0.0100066922605,4953,121
59,-0.0100065367296,4954,121
60,-0.0100054498762,4955,121
61,-0.0100018801168,4956,121
62,-0.0100001720712,4957,121
63,-0.0100186057389,4496,121
64,-0.0100466599688,4497,121
65,-0.0100607965142,4498,121
66,-0.0101036634296,4499,121
67,-0.0101326359436,4500,121
68,-0.0101472428069,4501,121
69,-0.0101915625855,4502,121
70,-0.0102065037936,4503,121
71,-0.0102518461645,4504,121
72,-0.0102671347558,4505,121
73,-0.0102979764342,4506,121
74,-0.0103135313839,4507,121
75,-0.0103449085727,4508,121
76,-0.0103766461834,4509,121
77,-0.0104249278083,4510,121
78,-0.010441201739,4511,121
79,-0.0104740196839,4512,121
80,-0.0105071952567,4513,121
81,-0.0105576254427,4514,121
82,-0.0105916811153,4515,121
83,-0.0106088388711,4516,121
84,-0.0106434077024,4517,121
85,-0.0106783118099,4518,121
86,-0.0107135418802,4519,121
87,-0.0107490904629,4520,121
88,-0.010784946382,4521,121
89,-0.0108210975304,4522,121
90,-0.0108575364575,4523,121
91,-0.0108942463994,4524,121
92,-0.0109312171116,4525,121
93,-0.0109684355557,4526,121
94,-0.0110058821738,4527,121
95,-0.011043542996,4528,121
96,-0.011062447913,4529,121
97,-0.0111194392666,4530,121
98,-0.0111385202035,4531,121
99,-0.0111959781498,4532,121
100,-0.0112344408408,4533,121
101,-0.0112730013207,4534,121
102,-0.0112923132256,4535,121
103,-0.0113309845328,4536,121
104,-0.0113697005436,4537,121
105,-0.0113890673965,4538,121
106,-0.0114471744746,4539,121
107,-0.0114858830348,4540,121
108,-0.0115052191541,4541,121
109,-0.0115631185472,4542,121
110,-0.0116015924141,4543,121
111,-0.0116399349645,4544,121
112,-0.0116781173274,4545,121
113,-0.0116971414536,4546,121
114,-0.011753898114,4547,121
115,-0.0117727015167,4548,121
116,-0.0118287075311,4549,121
117,-0.0118472306058,4550,121
118,-0.0118840374053,4551,121
119,-0.0119204968214,4552,121
120,-0.0119385877624,4553,121
121,-0.0119922608137,4554,121
122,-0.0120099382475,4555,121
123,-0.0120449531823,4556,121
124,-0.0120965624228,4557,121
125,-0.0121303163469,4558,121
126,-0.0121635133401,4559,121
127,-0.0121798915789,4560,121
128,-0.0122281080112,4561,121
129,-0.0122438594699,4562,121
130,-0.0122901042923,4563,121
131,-0.0123200537637,4564,121
132,-0.0123347528279,4565,121
133,-0.0123492628336,4566,121
134,-0.0123916231096,4567,121
135,-0.012418850325,4568,121
136,-0.0124321496114,4569,121
137,-0.012458100915,4570,121
138,-0.0124953547493,4571,121
139,-0.0125190336257,4572,121
140,-0.0125417569652,4573,121
141,-0.0125634949654,4574,121
142,-0.0125739872456,4575,121
143,-0.0125941969454,4576,121
144,-0.0126133589074,4577,121
145,-0.0126400757581,4578,121
146,-0.0126564996317,4579,121
147,-0.0126717891544,4580,121
148,-0.0126789994538,4581,121
149,-0.0126925399527,4582,121
150,-0.0127048864961,4583,121
151,-0.0127160185948,4584,121
152,-0.0127259148285,4585,121
153,-0.012734557502,4586,121
154,-0.0127419261262,4587,121
155,-0.0127480020747,4588,121
156,-0.0127527704462,4589,121
157,-0.0127562126145,4590,121
158,-0.0127583146095,4591,121
159,-0.0127588585019,4592,121
160,-0.0127584422007,4593,121
161,-0.0127564417198,4594,121
162,-0.0127530489117,4595,121
163,-0.0127508286387,4596,121
164,-0.0127453291789,4597,121
165,-0.0127420518547,4598,121
