,amplitude,tstep,vfp
0,-0.0100232623518,5252,71
1,-0.0100843729451,5253,71
2,-0.0101445121691,5254,71
3,-0.010203640908,5255,71
4,-0.0102617181838,5256,71
5,-0.0103187048808,5257,71
6,-0.0103467768058,5258,71
7,-0.0104020526633,5259,71
8,-0.0104561392218,5260,71
9,-0.0105089964345,5261,71
10,-0.0105605861172,5262,71
11,-0.0106108672917,5263,71
12,-0.010659802705,5264,71
13,-0.0107073541731,5265,71
14,-0.0107305990532,5266,71
15,-0.010776004754,5267,71
16,-0.0108199343085,5268,71
17,-0.0108623495325,5269,71
18,-0.0109230587259,5270,71
19,-0.010942501016,5271,71
20,-0.0109983868897,5272,71
21,-0.0110335666686,5273,71
22,-0.0110505223274,5274,71
23,-0.0110988020897,5275,71
24,-0.0111140208319,5276,71
25,-0.0111287962645,5277,71
26,-0.0111704291776,5278,71
27,-0.0111833969131,5279,71
28,-0.0112195257097,5280,71
29,-0.0112306326628,5281,71
30,-0.0112611074001,5282,71
31,-0.0112790232524,5283,71
32,-0.0112949945033,5284,71
33,-0.0113022439182,5285,71
34,-0.0113210240379,5286,71
35,-0.0113310487941,5287,71
36,-0.0113353058696,5288,71
37,-0.0113450409845,5289,71
38,-0.0113489832729,5290,71
39,-0.0113508747891,5291,71
40,-0.0113510489464,5292,71
41,-0.0113498475403,5293,71
42,-0.0113465758041,5294,71
43,-0.0113412290812,5295,71
44,-0.0113338027149,5296,71
45,-0.0113242967054,5297,71
46,-0.0113127082586,5298,71
47,-0.0112990410998,5299,71
48,-0.0112832970917,5300,71
49,-0.0112746488303,5301,71
50,-0.0112558016554,5302,71
51,-0.0112236682326,5303,71
52,-0.0111996857449,5304,71
53,-0.0111736664549,5305,71
54,-0.0111456261948,5306,71
55,-0.0111308516935,5307,71
56,-0.0111155770719,5308,71
57,-0.0110835377127,5309,71
58,-0.0110317841172,5310,71
59,-0.0110135590658,5311,71
60,-0.0109559940174,5312,71
61,-0.0109152412042,5313,71
62,-0.0108941607177,5314,71
63,-0.0108506083488,5315,71
64,-0.0107818543911,5316,71
65,-0.0107580367476,5317,71
66,-0.0107090771198,5318,71
67,-0.0106323817745,5319,71
68,-0.010579129681,5320,71
69,-0.0105242226273,5321,71
70,-0.0104961590841,5322,71
71,-0.0104388352484,5323,71
72,-0.0104095852003,5324,71
73,-0.010349933058,5325,71
74,-0.0102576473728,5326,71
75,-0.0102261584252,5327,71
76,-0.010162120685,5328,71
77,-0.010063495487,5329,71
78,-0.0100299566984,5330,71
