,amplitude,tstep,vfp
0,0.0,0,159
1,0.0,1,159
2,0.0,2,159
3,0.0,3,159
4,0.0,4,159
5,0.0,5,159
6,0.0,6,159
7,0.0,7,159
8,0.0,8,159
9,0.0,9,159
10,0.0,10,159
11,0.0,11,159
12,0.0,12,159
13,0.0,13,159
14,0.0,14,159
15,0.0,15,159
16,0.0,16,159
17,0.0,17,159
18,0.0,18,159
19,0.0,19,159
20,0.0,20,159
21,0.0,21,159
22,0.0,22,159
23,0.0,23,159
24,0.0,24,159
25,0.0,25,159
26,0.0,26,159
27,0.0,27,159
28,0.0,28,159
29,0.0,29,159
30,0.0,30,159
31,0.0,31,159
32,0.0,32,159
33,0.0,33,159
34,0.0,34,159
35,0.0,35,159
36,0.0,36,159
37,0.0,37,159
38,0.0,38,159
39,0.0,39,159
40,0.0,40,159
41,0.0,41,159
42,0.0,42,159
43,0.0,43,159
44,0.0,44,159
45,0.0,45,159
46,0.0,46,159
47,0.0,47,159
48,0.0,48,159
49,0.0,49,159
50,0.0,50,159
51,0.0,51,159
52,0.0,52,159
53,0.0,53,159
54,0.0,54,159
55,0.0,55,159
56,0.0,56,159
57,0.0,57,159
58,0.0,58,159
59,0.0,59,159
60,0.0,60,159
61,0.0,61,159
62,0.0,62,159
63,0.0,63,159
64,0.0,64,159
65,0.0,65,159
66,0.0,66,159
67,0.0,67,159
68,0.0,68,159
69,0.0,69,159
70,0.0,70,159
71,0.0,71,159
72,0.0,72,159
73,0.0,73,159
74,0.0,74,159
75,0.0,75,159
76,0.0,76,159
77,0.0,77,159
78,0.0,78,159
79,0.0,79,159
80,0.0,80,159
81,0.0,81,159
82,0.0,82,159
83,0.0,83,159
84,0.0,84,159
85,0.0,85,159
86,0.0,86,159
87,0.0,87,159
88,0.0,88,159
89,0.0,89,159
90,0.0,90,159
91,0.0,91,159
92,0.0,92,159
93,0.0,93,159
94,0.0,94,159
95,0.0,95,159
96,0.0,96,159
97,0.0,97,159
98,0.0,98,159
99,0.0,99,159
100,0.0,100,159
101,0.0,101,159
102,0.0,102,159
103,0.0,103,159
104,0.0,104,159
105,0.0,105,159
106,0.0,106,159
107,0.0,107,159
108,0.0,108,159
109,0.0,109,159
110,0.0,110,159
111,0.0,111,159
112,0.0,112,159
113,0.0,113,159
114,0.0,114,159
115,0.0,115,159
116,0.0,116,159
117,0.0,117,159
118,0.0,118,159
119,0.0,119,159
120,0.0,120,159
121,0.0,121,159
122,0.0,122,159
123,0.0,123,159
124,0.0,124,159
125,0.0,125,159
126,0.0,126,159
127,0.0,127,159
128,0.0,128,159
129,0.0,129,159
130,0.0,130,159
131,0.0,131,159
132,0.0,132,159
133,0.0,133,159
134,0.0,134,159
135,0.0,135,159
136,0.0,136,159
137,0.0,137,159
